Source,Target
0,1
1,2
2,0
3,1
3,2
4,0
4,1
5,1
5,2
6,0
6,1
7,1
7,2
8,0
8,1
9,1
9,2
10,0
10,1
11,1
11,2
12,0
12,1
13,1
13,2
14,0
14,1
15,1
15,2
16,0
16,1
17,1
17,2
18,0
18,1
19,1
19,2
20,0
20,1
21,1
21,2
22,0
22,1
23,1
23,2
24,0
24,1
25,1
25,2
26,0
26,1
27,1
27,2
28,0
28,1
29,1
29,2
30,0
30,1
31,1
31,2
32,0
32,1
33,1
33,2
34,0
34,1
35,1
35,2
36,0
36,1
37,1
37,2
38,0
38,1
39,1
39,2
40,0
40,1
41,1
41,2
42,0
42,1
43,1
43,2
44,0
44,1
45,1
45,2
46,0
46,1
47,1
47,2
48,0
48,1
49,1
49,2
50,0
50,1
60,0
60,1
60,2
60,52
60,54
60,56
60,58
60,62
70,0
70,1
70,2
70,63
70,65
70,67
70,69
70,72
80,0
80,1
80,2
80,74
80,76
80,78
80,82
80,84
90,0
90,1
90,2
90,85
90,87
90,89
90,92
90,94
51,0
51,52
51,56
52,1
52,53
52,57
53,2
53,54
53,58
54,0
54,55
54,59
55,1
55,56
55,61
56,2
56,57
56,61
57,0
57,58
57,62
58,1
58,59
58,63
59,2
59,61
59,64
61,1
61,62
61,66
62,2
62,63
62,67
63,0
63,64
63,68
64,1
64,65
64,69
65,2
65,66
65,71
66,0
66,67
66,71
67,1
67,68
67,72
68,2
68,69
68,73
69,0
69,71
69,74
71,2
71,72
71,76
72,0
72,73
72,77
73,1
73,74
73,78
74,2
74,75
74,79
75,0
75,76
75,81
76,1
76,77
76,81
77,2
77,78
77,82
78,0
78,79
78,83
79,1
79,81
79,84
81,0
81,82
81,86
82,1
82,83
82,87
83,2
83,84
83,88
84,0
84,85
84,89
85,1
85,86
85,91
86,2
86,87
86,91
87,0
87,88
87,92
88,1
88,89
88,93
89,2
89,91
89,94
91,1
91,92
91,96
92,2
92,93
92,97
93,0
93,94
93,98
94,1
94,95
94,99
95,2
95,96
95,51
96,0
96,97
96,52
97,1
97,98
97,53
98,2
98,99
98,54
99,0
99,51
99,55
