Nodo,PR_Standard,PR_Ottimizzato,Perc_Standard (%),Perc_Ottimizzato (%)
1,0.258797,0.258792,25.88,25.88
2,0.252597,0.252582,25.26,25.26
0,0.247481,0.24748,24.75,24.75
61,0.004533,0.004533,0.45,0.45
71,0.004314,0.004324,0.43,0.43
91,0.004313,0.004308,0.43,0.43
81,0.004273,0.004289,0.43,0.43
72,0.003953,0.003947,0.4,0.39
92,0.003944,0.003944,0.39,0.39
62,0.003942,0.00394,0.39,0.39
82,0.003902,0.003889,0.39,0.39
63,0.003812,0.003813,0.38,0.38
67,0.00378,0.003802,0.38,0.38
87,0.003751,0.003753,0.38,0.38
94,0.003748,0.003748,0.37,0.37
74,0.003746,0.003749,0.37,0.37
89,0.003734,0.003733,0.37,0.37
78,0.003727,0.003723,0.37,0.37
84,0.003722,0.00372,0.37,0.37
69,0.003712,0.003703,0.37,0.37
54,0.003664,0.003668,0.37,0.37
83,0.003661,0.00366,0.37,0.37
58,0.003656,0.003665,0.37,0.37
73,0.003654,0.003647,0.37,0.36
68,0.003651,0.003659,0.37,0.37
77,0.003642,0.003633,0.36,0.36
93,0.003638,0.003644,0.36,0.36
79,0.003617,0.003621,0.36,0.36
76,0.003607,0.003609,0.36,0.36
88,0.0036,0.003605,0.36,0.36
97,0.003594,0.003595,0.36,0.36
64,0.003593,0.003602,0.36,0.36
56,0.003582,0.003578,0.36,0.36
59,0.003574,0.003576,0.36,0.36
99,0.003567,0.003564,0.36,0.36
52,0.003553,0.00357,0.36,0.36
98,0.003549,0.003548,0.35,0.35
55,0.003549,0.003539,0.35,0.35
66,0.003543,0.003528,0.35,0.35
53,0.003525,0.003537,0.35,0.35
57,0.003522,0.003525,0.35,0.35
86,0.00348,0.003483,0.35,0.35
96,0.003448,0.003456,0.34,0.35
51,0.003237,0.003221,0.32,0.32
85,0.002714,0.002723,0.27,0.27
65,0.002677,0.002673,0.27,0.27
95,0.002562,0.002553,0.26,0.26
75,0.002561,0.002581,0.26,0.26
14,0.0015,0.001501,0.15,0.15
80,0.0015,0.001496,0.15,0.15
17,0.0015,0.001498,0.15,0.15
15,0.0015,0.001498,0.15,0.15
16,0.0015,0.001501,0.15,0.15
18,0.0015,0.001501,0.15,0.15
19,0.0015,0.001498,0.15,0.15
20,0.0015,0.001501,0.15,0.15
13,0.0015,0.001498,0.15,0.15
35,0.0015,0.001498,0.15,0.15
12,0.0015,0.001501,0.15,0.15
11,0.0015,0.001498,0.15,0.15
22,0.0015,0.001501,0.15,0.15
10,0.0015,0.001501,0.15,0.15
9,0.0015,0.001498,0.15,0.15
8,0.0015,0.001501,0.15,0.15
90,0.0015,0.001489,0.15,0.15
7,0.0015,0.001498,0.15,0.15
6,0.0015,0.001501,0.15,0.15
5,0.0015,0.001498,0.15,0.15
4,0.0015,0.001501,0.15,0.15
3,0.0015,0.001498,0.15,0.15
21,0.0015,0.001498,0.15,0.15
25,0.0015,0.001498,0.15,0.15
70,0.0015,0.001496,0.15,0.15
23,0.0015,0.001498,0.15,0.15
37,0.0015,0.001498,0.15,0.15
38,0.0015,0.001501,0.15,0.15
39,0.0015,0.001498,0.15,0.15
40,0.0015,0.001501,0.15,0.15
41,0.0015,0.001498,0.15,0.15
42,0.0015,0.001501,0.15,0.15
43,0.0015,0.001498,0.15,0.15
44,0.0015,0.001501,0.15,0.15
45,0.0015,0.001498,0.15,0.15
46,0.0015,0.001501,0.15,0.15
47,0.0015,0.001498,0.15,0.15
48,0.0015,0.001501,0.15,0.15
49,0.0015,0.001498,0.15,0.15
34,0.0015,0.001501,0.15,0.15
33,0.0015,0.001498,0.15,0.15
32,0.0015,0.001501,0.15,0.15
31,0.0015,0.001498,0.15,0.15
30,0.0015,0.001501,0.15,0.15
60,0.0015,0.00151,0.15,0.15
29,0.0015,0.001498,0.15,0.15
28,0.0015,0.001501,0.15,0.15
27,0.0015,0.001498,0.15,0.15
26,0.0015,0.001501,0.15,0.15
36,0.0015,0.001501,0.15,0.15
24,0.0015,0.001501,0.15,0.15
50,0.0015,0.001501,0.15,0.15
