Nodo,Authority,Authority (%),Hub,Hub (%)
0,0.1348,13.48,0.0023,0.23
2,0.1251,12.51,0.0023,0.23
1,0.1161,11.61,0.0023,0.23
11,0.0118,1.18,0.0098,0.98
86,0.0118,1.18,0.0098,0.98
37,0.0118,1.18,0.0088,0.88
87,0.0116,1.16,0.0101,1.01
61,0.0116,1.16,0.0092,0.92
12,0.0116,1.16,0.0101,1.01
36,0.0114,1.14,0.0105,1.05
62,0.0114,1.14,0.0094,0.94
10,0.0084,0.84,0.0275,2.75
85,0.0084,0.84,0.0275,2.75
35,0.0082,0.82,0.0275,2.75
60,0.008,0.8,0.0275,2.75
52,0.0063,0.63,0.0088,0.88
13,0.0062,0.62,0.0088,0.88
88,0.0062,0.62,0.0088,0.88
34,0.0061,0.61,0.0093,0.93
64,0.0061,0.61,0.0088,0.88
51,0.0061,0.61,0.0101,1.01
28,0.0061,0.61,0.0088,0.88
22,0.006,0.6,0.0088,0.88
16,0.006,0.6,0.0088,0.88
97,0.006,0.6,0.0088,0.88
94,0.006,0.6,0.0088,0.88
49,0.006,0.6,0.0088,0.88
7,0.006,0.6,0.0088,0.88
46,0.006,0.6,0.0088,0.88
91,0.006,0.6,0.0088,0.88
43,0.006,0.6,0.0088,0.88
67,0.006,0.6,0.0088,0.88
40,0.006,0.6,0.0088,0.88
82,0.006,0.6,0.0088,0.88
38,0.006,0.6,0.0094,0.94
70,0.006,0.6,0.0088,0.88
19,0.006,0.6,0.0088,0.88
31,0.006,0.6,0.0088,0.88
25,0.006,0.6,0.0088,0.88
79,0.006,0.6,0.0088,0.88
76,0.006,0.6,0.0088,0.88
58,0.006,0.6,0.0089,0.89
73,0.006,0.6,0.0088,0.88
55,0.006,0.6,0.0088,0.88
68,0.0059,0.59,0.0094,0.94
74,0.0059,0.59,0.0094,0.94
65,0.0059,0.59,0.0094,0.94
89,0.0059,0.59,0.0094,0.94
92,0.0059,0.59,0.0094,0.94
77,0.0059,0.59,0.0094,0.94
71,0.0059,0.59,0.0094,0.94
83,0.0059,0.59,0.0096,0.96
95,0.0059,0.59,0.0094,0.94
80,0.0059,0.59,0.0094,0.94
98,0.0059,0.59,0.0094,0.94
59,0.0059,0.59,0.01,1.0
50,0.0059,0.59,0.0094,0.94
8,0.0059,0.59,0.0096,0.96
41,0.0059,0.59,0.0094,0.94
20,0.0059,0.59,0.0094,0.94
17,0.0059,0.59,0.0094,0.94
56,0.0059,0.59,0.0094,0.94
29,0.0059,0.59,0.0094,0.94
14,0.0059,0.59,0.0094,0.94
32,0.0059,0.59,0.0094,0.94
23,0.0059,0.59,0.0094,0.94
47,0.0059,0.59,0.0094,0.94
44,0.0059,0.59,0.0094,0.94
3,0.0059,0.59,0.0101,1.01
53,0.0059,0.59,0.0094,0.94
4,0.0059,0.59,0.0088,0.88
5,0.0058,0.58,0.0094,0.94
27,0.0058,0.58,0.0101,1.01
63,0.0058,0.58,0.0101,1.01
9,0.0057,0.57,0.0107,1.07
84,0.0057,0.57,0.0107,1.07
6,0.0056,0.56,0.0101,1.01
15,0.0056,0.56,0.0101,1.01
96,0.0056,0.56,0.0101,1.01
90,0.0056,0.56,0.0101,1.01
18,0.0056,0.56,0.0101,1.01
93,0.0056,0.56,0.0101,1.01
57,0.0056,0.56,0.0101,1.01
78,0.0056,0.56,0.0101,1.01
21,0.0056,0.56,0.0101,1.01
81,0.0056,0.56,0.0101,1.01
24,0.0056,0.56,0.0101,1.01
26,0.0056,0.56,0.0094,0.94
75,0.0056,0.56,0.0101,1.01
30,0.0056,0.56,0.0101,1.01
72,0.0056,0.56,0.0101,1.01
33,0.0056,0.56,0.0103,1.03
39,0.0056,0.56,0.0101,1.01
69,0.0056,0.56,0.0101,1.01
42,0.0056,0.56,0.0101,1.01
66,0.0056,0.56,0.0101,1.01
45,0.0056,0.56,0.0101,1.01
48,0.0056,0.56,0.0101,1.01
54,0.0056,0.56,0.0101,1.01
99,0.0056,0.56,0.0101,1.01
