Nodo,Authority,Authority (%),Hub,Hub (%)
0,0.2394,23.94,0.0063,0.63
2,0.239,23.9,0.0063,0.63
1,0.2383,23.83,0.0063,0.63
82,0.011,1.1,0.0066,0.66
52,0.011,1.1,0.0064,0.64
55,0.011,1.1,0.0064,0.64
73,0.011,1.1,0.0064,0.64
76,0.011,1.1,0.0064,0.64
85,0.011,1.1,0.0064,0.64
88,0.011,1.1,0.0064,0.64
94,0.011,1.1,0.0064,0.64
97,0.011,1.1,0.0064,0.64
83,0.0109,1.09,0.0064,0.64
78,0.0109,1.09,0.0064,0.64
72,0.0109,1.09,0.0066,0.66
68,0.0109,1.09,0.0064,0.64
66,0.0109,1.09,0.0064,0.64
63,0.0109,1.09,0.0064,0.64
57,0.0109,1.09,0.0064,0.64
54,0.0109,1.09,0.0066,0.66
51,0.0109,1.09,0.0066,0.66
99,0.0109,1.09,0.0066,0.66
91,0.0082,0.82,0.0064,0.64
79,0.0026,0.26,0.0064,0.64
80,0.0026,0.26,0.0204,2.04
62,0.0026,0.26,0.0066,0.66
60,0.0026,0.26,0.0204,2.04
59,0.0026,0.26,0.0064,0.64
58,0.0026,0.26,0.0064,0.64
67,0.0026,0.26,0.0066,0.66
56,0.0026,0.26,0.0066,0.66
69,0.0026,0.26,0.0064,0.64
53,0.0026,0.26,0.0066,0.66
70,0.0026,0.26,0.0204,2.04
74,0.0026,0.26,0.0064,0.64
75,0.0026,0.26,0.0066,0.66
77,0.0026,0.26,0.0066,0.66
64,0.0026,0.26,0.0064,0.64
65,0.0026,0.26,0.0066,0.66
92,0.0026,0.26,0.0064,0.64
98,0.0026,0.26,0.0066,0.66
84,0.0026,0.26,0.0066,0.66
86,0.0026,0.26,0.0064,0.64
96,0.0026,0.26,0.0066,0.66
87,0.0026,0.26,0.0066,0.66
95,0.0026,0.26,0.0064,0.64
93,0.0026,0.26,0.0066,0.66
89,0.0026,0.26,0.0064,0.64
90,0.0026,0.26,0.0204,2.04
7,0.0,0.0,0.0126,1.26
14,0.0,0.0,0.0127,1.27
3,0.0,0.0,0.0127,1.27
4,0.0,0.0,0.0126,1.26
13,0.0,0.0,0.0126,1.26
71,0.0,0.0,0.0066,0.66
8,0.0,0.0,0.0127,1.27
12,0.0,0.0,0.0127,1.27
11,0.0,0.0,0.0127,1.27
5,0.0,0.0,0.0127,1.27
10,0.0,0.0,0.0126,1.26
9,0.0,0.0,0.0127,1.27
6,0.0,0.0,0.0127,1.27
81,0.0,0.0,0.0066,0.66
22,0.0,0.0,0.0126,1.26
61,0.0,0.0,0.0064,0.64
15,0.0,0.0,0.0127,1.27
31,0.0,0.0,0.0126,1.26
37,0.0,0.0,0.0126,1.26
36,0.0,0.0,0.0127,1.27
35,0.0,0.0,0.0127,1.27
34,0.0,0.0,0.0126,1.26
33,0.0,0.0,0.0127,1.27
32,0.0,0.0,0.0127,1.27
30,0.0,0.0,0.0127,1.27
39,0.0,0.0,0.0127,1.27
29,0.0,0.0,0.0127,1.27
28,0.0,0.0,0.0126,1.26
27,0.0,0.0,0.0127,1.27
26,0.0,0.0,0.0127,1.27
25,0.0,0.0,0.0126,1.26
24,0.0,0.0,0.0127,1.27
38,0.0,0.0,0.0127,1.27
40,0.0,0.0,0.0126,1.26
23,0.0,0.0,0.0127,1.27
49,0.0,0.0,0.0126,1.26
16,0.0,0.0,0.0126,1.26
17,0.0,0.0,0.0127,1.27
18,0.0,0.0,0.0127,1.27
19,0.0,0.0,0.0126,1.26
20,0.0,0.0,0.0127,1.27
21,0.0,0.0,0.0127,1.27
48,0.0,0.0,0.0127,1.27
41,0.0,0.0,0.0127,1.27
47,0.0,0.0,0.0127,1.27
46,0.0,0.0,0.0126,1.26
45,0.0,0.0,0.0127,1.27
44,0.0,0.0,0.0127,1.27
43,0.0,0.0,0.0126,1.26
42,0.0,0.0,0.0127,1.27
50,0.0,0.0,0.0127,1.27
