Source,Target
0,10
0,35
0,60
0,85
1,10
1,35
1,60
1,85
2,10
2,35
2,60
2,85
10,0
10,1
10,2
35,0
35,1
35,2
60,0
60,1
60,2
85,0
85,1
85,2
3,0
3,4
3,5
4,1
4,5
4,6
5,2
5,6
5,7
6,0
6,7
6,8
7,1
7,8
7,9
8,2
8,9
8,10
9,0
9,10
9,11
10,11
10,12
11,2
11,12
11,13
12,0
12,13
12,14
13,1
13,14
13,15
14,2
14,15
14,16
15,0
15,16
15,17
16,1
16,17
16,18
17,2
17,18
17,19
18,0
18,19
18,20
19,1
19,20
19,21
20,2
20,21
20,22
21,0
21,22
21,23
22,1
22,23
22,24
23,2
23,24
23,25
24,0
24,25
24,3
25,1
25,3
25,4
26,2
26,27
26,28
27,0
27,28
27,29
28,1
28,29
28,30
29,2
29,30
29,31
30,0
30,31
30,32
31,1
31,32
31,33
32,2
32,33
32,34
33,0
33,34
33,35
34,1
34,35
34,36
35,36
35,37
36,0
36,37
36,38
37,1
37,38
37,39
38,2
38,39
38,40
39,0
39,40
39,41
40,1
40,41
40,42
41,2
41,42
41,43
42,0
42,43
42,44
43,1
43,44
43,45
44,2
44,45
44,46
45,0
45,46
45,47
46,1
46,47
46,48
47,2
47,48
47,49
48,0
48,49
48,50
49,1
49,50
49,26
50,2
50,26
50,27
51,0
51,52
51,53
52,1
52,53
52,54
53,2
53,54
53,55
54,0
54,55
54,56
55,1
55,56
55,57
56,2
56,57
56,58
57,0
57,58
57,59
58,1
58,59
58,60
59,2
59,60
59,61
60,61
60,62
61,1
61,62
61,63
62,2
62,63
62,64
63,0
63,64
63,65
64,1
64,65
64,66
65,2
65,66
65,67
66,0
66,67
66,68
67,1
67,68
67,69
68,2
68,69
68,70
69,0
69,70
69,71
70,1
70,71
70,72
71,2
71,72
71,73
72,0
72,73
72,74
73,1
73,74
73,75
74,2
74,75
74,51
75,0
75,51
75,52
76,1
76,77
76,78
77,2
77,78
77,79
78,0
78,79
78,80
79,1
79,80
79,81
80,2
80,81
80,82
81,0
81,82
81,83
82,1
82,83
82,84
83,2
83,84
83,85
84,0
84,85
84,86
85,86
85,87
86,2
86,87
86,88
87,0
87,88
87,89
88,1
88,89
88,90
89,2
89,90
89,91
90,0
90,91
90,92
91,1
91,92
91,93
92,2
92,93
92,94
93,0
93,94
93,95
94,1
94,95
94,96
95,2
95,96
95,97
96,0
96,97
96,98
97,1
97,98
97,99
98,2
98,99
98,76
99,0
99,76
99,77
