Nodo,Authority,Authority (%),Hub,Hub (%)
1,0.3078,30.78,0.0046,0.46
2,0.1719,17.19,0.0046,0.46
0,0.1718,17.18,0.0083,0.83
78,0.0123,1.23,0.0049,0.49
56,0.0122,1.22,0.005,0.5
62,0.0122,1.22,0.0053,0.53
63,0.0122,1.22,0.0049,0.49
69,0.0122,1.22,0.0051,0.51
89,0.0122,1.22,0.0051,0.51
72,0.0122,1.22,0.0049,0.49
74,0.0122,1.22,0.0048,0.48
84,0.0122,1.22,0.0052,0.52
92,0.0121,1.21,0.0049,0.49
87,0.0121,1.21,0.0051,0.51
58,0.0109,1.09,0.0088,0.88
76,0.0109,1.09,0.0087,0.87
52,0.0108,1.08,0.0086,0.86
67,0.0108,1.08,0.0088,0.88
54,0.0108,1.08,0.0049,0.49
94,0.0108,1.08,0.0085,0.85
82,0.0108,1.08,0.0088,0.88
65,0.0103,1.03,0.0049,0.49
85,0.0089,0.89,0.0086,0.86
81,0.0083,0.83,0.0051,0.51
91,0.0069,0.69,0.0088,0.88
61,0.0069,0.69,0.0088,0.88
53,0.0063,0.63,0.0052,0.52
71,0.0056,0.56,0.0053,0.53
68,0.005,0.5,0.0051,0.51
86,0.005,0.5,0.0052,0.52
66,0.005,0.5,0.0051,0.51
93,0.005,0.5,0.0051,0.51
83,0.005,0.5,0.0051,0.51
59,0.005,0.5,0.0049,0.49
96,0.005,0.5,0.005,0.5
57,0.005,0.5,0.0053,0.53
98,0.005,0.5,0.0051,0.51
77,0.005,0.5,0.0053,0.53
99,0.005,0.5,0.0048,0.48
73,0.0037,0.37,0.009,0.9
88,0.0037,0.37,0.0088,0.88
55,0.0036,0.36,0.0088,0.88
51,0.0036,0.36,0.0053,0.53
64,0.0036,0.36,0.0089,0.89
97,0.0036,0.36,0.0086,0.86
79,0.0035,0.35,0.0089,0.89
95,0.0031,0.31,0.0049,0.49
75,0.0018,0.18,0.0052,0.52
19,0.0,0.0,0.013,1.3
18,0.0,0.0,0.013,1.3
13,0.0,0.0,0.013,1.3
17,0.0,0.0,0.013,1.3
20,0.0,0.0,0.013,1.3
80,0.0,0.0,0.0192,1.92
16,0.0,0.0,0.013,1.3
15,0.0,0.0,0.013,1.3
14,0.0,0.0,0.013,1.3
39,0.0,0.0,0.013,1.3
12,0.0,0.0,0.013,1.3
22,0.0,0.0,0.013,1.3
11,0.0,0.0,0.013,1.3
10,0.0,0.0,0.013,1.3
9,0.0,0.0,0.013,1.3
90,0.0,0.0,0.0191,1.91
8,0.0,0.0,0.013,1.3
7,0.0,0.0,0.013,1.3
6,0.0,0.0,0.013,1.3
5,0.0,0.0,0.013,1.3
4,0.0,0.0,0.013,1.3
3,0.0,0.0,0.013,1.3
21,0.0,0.0,0.013,1.3
23,0.0,0.0,0.013,1.3
70,0.0,0.0,0.0192,1.92
40,0.0,0.0,0.013,1.3
41,0.0,0.0,0.013,1.3
42,0.0,0.0,0.013,1.3
43,0.0,0.0,0.013,1.3
44,0.0,0.0,0.013,1.3
45,0.0,0.0,0.013,1.3
46,0.0,0.0,0.013,1.3
47,0.0,0.0,0.013,1.3
48,0.0,0.0,0.013,1.3
49,0.0,0.0,0.013,1.3
38,0.0,0.0,0.013,1.3
37,0.0,0.0,0.013,1.3
36,0.0,0.0,0.013,1.3
35,0.0,0.0,0.013,1.3
34,0.0,0.0,0.013,1.3
33,0.0,0.0,0.013,1.3
32,0.0,0.0,0.013,1.3
31,0.0,0.0,0.013,1.3
60,0.0,0.0,0.0192,1.92
30,0.0,0.0,0.013,1.3
29,0.0,0.0,0.013,1.3
28,0.0,0.0,0.013,1.3
27,0.0,0.0,0.013,1.3
26,0.0,0.0,0.013,1.3
25,0.0,0.0,0.013,1.3
24,0.0,0.0,0.013,1.3
50,0.0,0.0,0.013,1.3
