Nodo,PR_Standard,PR_Ottimizzato,Perc_Standard (%),Perc_Ottimizzato (%)
0,0.156116,0.155136,15.61,15.51
2,0.156116,0.155136,15.61,15.51
1,0.156116,0.155136,15.61,15.51
98,0.005481,0.005511,0.55,0.55
97,0.005481,0.005511,0.55,0.55
72,0.005481,0.005511,0.55,0.55
71,0.005481,0.005511,0.55,0.55
70,0.005481,0.005511,0.55,0.55
69,0.005481,0.005511,0.55,0.55
68,0.005481,0.005511,0.55,0.55
67,0.005481,0.005511,0.55,0.55
66,0.005481,0.005511,0.55,0.55
65,0.005481,0.005511,0.55,0.55
64,0.005481,0.005511,0.55,0.55
63,0.005481,0.005511,0.55,0.55
62,0.005481,0.005511,0.55,0.55
61,0.005481,0.005511,0.55,0.55
60,0.005481,0.005511,0.55,0.55
59,0.005481,0.005511,0.55,0.55
58,0.005481,0.005511,0.55,0.55
57,0.005481,0.005511,0.55,0.55
56,0.005481,0.005511,0.55,0.55
55,0.005481,0.005511,0.55,0.55
54,0.005481,0.005511,0.55,0.55
53,0.005481,0.005511,0.55,0.55
52,0.005481,0.005511,0.55,0.55
73,0.005481,0.005511,0.55,0.55
74,0.005481,0.005511,0.55,0.55
75,0.005481,0.005511,0.55,0.55
87,0.005481,0.005511,0.55,0.55
96,0.005481,0.005511,0.55,0.55
95,0.005481,0.005511,0.55,0.55
94,0.005481,0.005511,0.55,0.55
93,0.005481,0.005511,0.55,0.55
92,0.005481,0.005511,0.55,0.55
91,0.005481,0.005511,0.55,0.55
90,0.005481,0.005511,0.55,0.55
89,0.005481,0.005511,0.55,0.55
88,0.005481,0.005511,0.55,0.55
86,0.005481,0.005511,0.55,0.55
51,0.005481,0.005511,0.55,0.55
85,0.005481,0.005511,0.55,0.55
84,0.005481,0.005511,0.55,0.55
83,0.005481,0.005511,0.55,0.55
82,0.005481,0.005511,0.55,0.55
81,0.005481,0.005511,0.55,0.55
80,0.005481,0.005511,0.55,0.55
79,0.005481,0.005511,0.55,0.55
78,0.005481,0.005511,0.55,0.55
77,0.005481,0.005511,0.55,0.55
76,0.005481,0.005511,0.55,0.55
50,0.005481,0.005511,0.55,0.55
49,0.005481,0.005511,0.55,0.55
48,0.005481,0.005511,0.55,0.55
23,0.005481,0.005511,0.55,0.55
22,0.005481,0.005511,0.55,0.55
21,0.005481,0.005511,0.55,0.55
20,0.005481,0.005511,0.55,0.55
19,0.005481,0.005511,0.55,0.55
18,0.005481,0.005511,0.55,0.55
17,0.005481,0.005511,0.55,0.55
16,0.005481,0.005511,0.55,0.55
15,0.005481,0.005511,0.55,0.55
14,0.005481,0.005511,0.55,0.55
13,0.005481,0.005511,0.55,0.55
12,0.005481,0.005511,0.55,0.55
11,0.005481,0.005511,0.55,0.55
10,0.005481,0.005511,0.55,0.55
9,0.005481,0.005511,0.55,0.55
8,0.005481,0.005511,0.55,0.55
7,0.005481,0.005511,0.55,0.55
6,0.005481,0.005511,0.55,0.55
5,0.005481,0.005511,0.55,0.55
4,0.005481,0.005511,0.55,0.55
3,0.005481,0.005511,0.55,0.55
24,0.005481,0.005511,0.55,0.55
25,0.005481,0.005511,0.55,0.55
26,0.005481,0.005511,0.55,0.55
38,0.005481,0.005511,0.55,0.55
47,0.005481,0.005511,0.55,0.55
46,0.005481,0.005511,0.55,0.55
45,0.005481,0.005511,0.55,0.55
44,0.005481,0.005511,0.55,0.55
43,0.005481,0.005511,0.55,0.55
42,0.005481,0.005511,0.55,0.55
41,0.005481,0.005511,0.55,0.55
40,0.005481,0.005511,0.55,0.55
39,0.005481,0.005511,0.55,0.55
37,0.005481,0.005511,0.55,0.55
27,0.005481,0.005511,0.55,0.55
36,0.005481,0.005511,0.55,0.55
35,0.005481,0.005511,0.55,0.55
34,0.005481,0.005511,0.55,0.55
33,0.005481,0.005511,0.55,0.55
32,0.005481,0.005511,0.55,0.55
31,0.005481,0.005511,0.55,0.55
30,0.005481,0.005511,0.55,0.55
29,0.005481,0.005511,0.55,0.55
28,0.005481,0.005511,0.55,0.55
99,0.005481,0.005511,0.55,0.55
